"lake","loc","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"aub","lat=44.1461&lon=-70.227","2021-06-12","03","49","47","","2","S","36","1","93","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","04","49","47","","2","S","43","1","96","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","05","49","47","","2","S","50","1","96","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","06","49","48","","2","SW","48","1","100","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","07","51","49","","2","SW","45","0","93","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","08","54","50","","2","SW","43","1","86","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","09","59","51","","2","SW","41","2","75","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","10","63","51","","3","SW","39","2","65","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","11","67","50","","3","S","37","2","54","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","12","69","50","","5","S","34","2","51","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","13","70","49","","5","S","30","2","47","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","14","72","49","","6","S","26","2","44","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","15","73","50","","6","S","30","3","44","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","16","72","52","","7","S","34","6","49","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","17","72","53","","8","S","38","4","51","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","18","71","54","","8","S","37","3","55","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","19","68","54","","7","S","35","2","61","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","20","65","54","","7","S","33","1","68","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","21","62","53","","5","S","37","2","72","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","22","60","54","","3","S","42","3","81","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-12","23","58","53","","3","S","44","4","83","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","00","57","53","","2","S","48","4","86","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","01","56","52","","2","SW","54","4","86","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","02","55","52","","2","SW","59","3","90","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","03","53","50","","2","SW","61","3","89","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","04","51","50","","2","W","62","4","96","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","05","51","49","","2","W","61","4","93","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","06","54","50","","1","W","57","5","86","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","07","58","51","","1","W","51","7","77","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","08","60","52","","2","W","46","3","75","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","09","64","51","","2","W","40","3","63","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","10","68","51","","3","W","35","4","54","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","11","72","51","","5","W","30","5","48","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","12","74","50","","5","SW","32","5","43","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","13","75","50","75","5","SW","34","6","41","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","14","76","50","76","5","SW","35","6","40","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","15","77","50","77","6","S","36","6","39","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","16","78","50","78","6","S","37","7","37","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","17","79","50","79","7","S","38","7","36","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","18","75","51","75","6","S","44","9","43","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","19","73","52","","6","S","51","11","48","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","20","70","53","","6","SE","57","13","55","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","21","67","53","","6","SE","59","15","61","SChc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","22","65","53","","5","SE","60","17","65","SChc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","23","64","53","","5","SE","62","19","67","SChc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","00","62","53","","3","S","64","21","72","SChc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","01","60","54","","3","S","67","23","81","SChc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","02","59","54","","2","S","69","24","83","SChc","--"
