"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"MUR","34.07970194","-81.41616075","2021-10-19","02","54","46","","3","W","0","0","74","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","03","54","46","","3","W","0","0","74","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","04","53","46","","3","NW","0","0","77","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","05","51","46","","3","NW","0","0","83","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","06","50","45","49","3","NW","0","0","83","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","07","48","45","48","2","NW","0","0","89","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","08","50","47","50","1","N","1","0","89","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","09","54","49","","2","N","2","0","83","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","10","59","49","","2","NE","1","0","69","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","11","64","48","","2","SE","1","0","56","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","12","67","48","","2","SE","2","0","50","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","13","69","47","","3","S","4","0","45","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","14","70","47","","2","S","5","0","44","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","15","71","47","","2","SW","5","0","42","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","16","72","48","","3","SW","5","0","42","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","17","72","48","","3","SW","4","0","42","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","18","70","49","","5","SW","4","0","47","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","19","68","50","","3","SW","9","0","52","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","20","65","51","","3","SW","11","0","60","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","21","63","52","","3","SW","17","0","67","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","22","61","52","","3","SW","23","0","72","--","--"
"MUR","34.07970194","-81.41616075","2021-10-19","23","60","51","","3","SW","30","0","72","--","--"
"MUR","34.07970194","-81.41616075","2021-10-20","00","59","51","","3","SW","28","0","75","--","--"
"MUR","34.07970194","-81.41616075","2021-10-20","01","59","49","","3","SW","31","0","69","--","--"
"MUR","34.07970194","-81.41616075",NA,"--","","02","58","50","","3","SW","36","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","03","57","49","","3","SW","37","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","04","57","49","","3","W","33","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","05","55","49","","3","W","28","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","06","54","49","","3","W","25","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","07","54","49","","3","W","22","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","08","54","49","","5","W","18","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","09","59","51","","5","W","13","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","10","63","52","","6","W","8","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","11","66","53","","6","W","4","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","12","69","53","","6","W","5","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","13","72","52","","6","W","6","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","14","74","52","","7","W","7","1",NA
"MUR","34.07970194","-81.41616075",NA,"--","","15","75","52","","7","W","9","1",NA
"MUR","34.07970194","-81.41616075",NA,"--","","16","75","52","","7","SW","11","1",NA
"MUR","34.07970194","-81.41616075",NA,"--","","17","74","53","","7","SW","14","1",NA
"MUR","34.07970194","-81.41616075",NA,"--","","18","72","53","","6","SW","18","1",NA
"MUR","34.07970194","-81.41616075",NA,"--","","19","69","54","","5","SW","22","1",NA
"MUR","34.07970194","-81.41616075",NA,"--","","20","66","54","","5","SW","28","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","21","65","54","","5","SW","33","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","22","64","54","","5","SW","38","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","23","63","54","","5","SW","43","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","10/21","00","62","54","","5","SW","46","0",NA
"MUR","34.07970194","-81.41616075",NA,"--","","01","62","54","","5","SW","49","0",NA
