"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"BAR","41.50214979","-71.56477181","2021-08-13","03","75","70","75","6","SW","41","6","84","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","04","75","71","75","5","SW","42","5","87","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","05","74","70","","5","SW","42","3","87","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","06","74","69","","5","SW","35","2","84","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","07","75","71","75","5","W","28","1","87","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","08","78","72","78","5","W","21","0","82","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","09","81","73","86","5","W","20","0","77","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","10","84","73","90","5","SW","18","1","70","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","11","86","74","94","5","SW","16","1","68","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","12","88","73","96","6","SW","15","1","61","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","13","90","73","98","8","SW","16","1","58","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","14","91","73","100","9","S","19","1","56","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","15","91","73","100","9","S","16","2","56","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","16","90","74","99","9","SW","17","4","60","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","17","90","73","98","9","SW","20","5","58","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","18","88","73","96","9","SW","19","7","61","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","19","85","73","92","8","SW","22","8","67","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","20","82","73","87","8","SW","30","10","74","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","21","80","72","84","7","SW","28","12","77","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","22","79","72","79","7","SW","31","14","79","--","--"
"BAR","41.50214979","-71.56477181","2021-08-13","23","77","72","77","6","SW","32","16","85","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-14","00","76","72","76","6","SW","34","17","87","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-14","01","75","72","75","5","SW","35","18","90","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-14","02","75","72","75","5","SW","33","19","90","SChc","SChc"
"BAR","41.50214979","-71.56477181","2021-08-14","03","74","72","","5","SW","41","20","93","SChc","SChc"
"BAR","41.50214979","-71.56477181","2021-08-14","04","73","71","","5","SW","47","15","93","--","--"
"BAR","41.50214979","-71.56477181","2021-08-14","05","72","71","","5","SW","51","9","97","--","--"
"BAR","41.50214979","-71.56477181","2021-08-14","06","72","72","","5","SW","56","10","100","--","--"
"BAR","41.50214979","-71.56477181","2021-08-14","07","73","72","","6","SW","58","12","97","--","--"
"BAR","41.50214979","-71.56477181","2021-08-14","08","76","73","76","6","SW","58","13","90","--","--"
"BAR","41.50214979","-71.56477181","2021-08-14","09","79","74","79","6","SW","42","11","85","--","--"
"BAR","41.50214979","-71.56477181","2021-08-14","10","82","74","88","7","W","38","10","77","--","--"
"BAR","41.50214979","-71.56477181","2021-08-14","11","84","75","92","7","W","33","8","74","--","--"
"BAR","41.50214979","-71.56477181","2021-08-14","12","86","75","95","7","W","36","14","70","--","--"
"BAR","41.50214979","-71.56477181","2021-08-14","13","88","74","97","8","W","40","21","63","SChc","SChc"
"BAR","41.50214979","-71.56477181","2021-08-14","14","89","74","98","8","W","51","27","61","Chc","Chc"
"BAR","41.50214979","-71.56477181","2021-08-14","15","89","73","97","8","W","51","30","59","Chc","Chc"
"BAR","41.50214979","-71.56477181","2021-08-14","16","88","73","96","7","W","51","33","61","Chc","Chc"
"BAR","41.50214979","-71.56477181","2021-08-14","17","87","72","94","7","W","52","36","61","Chc","Chc"
"BAR","41.50214979","-71.56477181","2021-08-14","18","85","71","90","6","W","52","35","63","Chc","Chc"
"BAR","41.50214979","-71.56477181","2021-08-14","19","82","70","86","6","W","52","35","67","Chc","Chc"
"BAR","41.50214979","-71.56477181","2021-08-14","20","79","69","79","5","W","52","34","72","Chc","Chc"
"BAR","41.50214979","-71.56477181","2021-08-14","21","76","68","76","5","NW","51","30","76","Chc","Chc"
"BAR","41.50214979","-71.56477181","2021-08-14","22","74","67","","5","NW","51","25","79","Chc","Chc"
"BAR","41.50214979","-71.56477181","2021-08-14","23","73","66","","5","NW","48","21","79","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-15","00","71","64","","5","NW","47","17","79","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-15","01","70","63","","6","N","45","13","78","--","--"
"BAR","41.50214979","-71.56477181","2021-08-15","02","70","61","","6","N","43","9","73","--","--"
